Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
City of West Point - (MS),MS,Municipal,"3,216","35,774","3,929.0",10.98
Clarksdale Public Utilities,MS,Municipal,"5,773","71,885","6,406.0",8.91
Coahoma Electric Power Assn,MS,Cooperative,"5,900","94,358","10,289.0",10.90
Coast Electric Power Assn,MS,Cooperative,"71,988","1,045,428","124,886.0",11.95
Delta Electric Power Assn,MS,Cooperative,"21,249","252,149","27,193.0",10.78
Dixie Electric Power Assn,MS,Cooperative,"34,559","507,410","59,575.4",11.74
East Mississippi Elec Pwr Assn,MS,Cooperative,"9,893","128,362","15,513.0",12.09
Entergy Mississippi Inc,MS,Investor Owned,"368,857","5,550,307","453,707.1",8.17
Greenwood Utilities Comm,MS,Municipal,"8,101","103,411","10,084.0",9.75
Louisville Electric System,MS,Municipal,"2,672","32,201","3,193.0",9.92
Magnolia Electric Power Assn,MS,Cooperative,"28,332","375,350","46,451.0",12.38
Mississippi Power Co,MS,Investor Owned,"152,387","2,045,999","226,847.0",11.09
Monroe County Elec Power Assn,MS,Cooperative,"8,781","147,444","15,099.0",10.24
Natchez Trace Elec Power Assn,MS,Cooperative,"12,456","173,060","18,112.0",10.47
North East Mississippi E P A,MS,Cooperative,"19,147","276,661","31,213.0",11.28
Northcentral Mississippi E P A,MS,Cooperative,"23,672","414,801","41,016.0",9.89
Pearl River Valley El Pwr Assn,MS,Cooperative,"45,615","665,022","83,125.2",12.50
Pontotoc Electric Power Assn,MS,Cooperative,"14,870","223,056","23,951.0",10.74
Prentiss County Elec Pwr Assn,MS,Cooperative,"10,823","155,823","14,375.0",9.23
Public Serv Comm of Yazoo City,MS,Political Subdivision,"4,567","57,631","5,017.3",8.71
Singing River Elec Pwr Assn,MS,Cooperative,"62,348","906,358","103,683.4",11.44
Southern Pine Elec Power Assn,MS,Cooperative,"60,276","838,187","101,741.0",12.14
Southwest Mississippi E P A,MS,Cooperative,"23,170","279,691","33,399.0",11.94
Tallahatchie Valley E P A,MS,Cooperative,"21,526","324,637","34,080.0",10.50
Tippah Electric Power Assn,MS,Cooperative,"10,333","144,717","15,316.0",10.58
Tishomingo County E P A,MS,Cooperative,"10,987","141,436","14,866.0",10.51
Tombigbee Electric Power Assn,MS,Cooperative,"34,308","530,809","54,084.0",10.19
Twin County Electric Pwr Assn,MS,Cooperative,"9,454","114,904","15,593.0",13.57
Yazoo Valley Elec Power Assn,MS,Cooperative,"9,438","117,005","15,939.0",13.62
Avista Corp,MT,Investor Owned,9,162,13.0,8.02
"Beartooth Electric Coop, Inc",MT,Cooperative,"4,943","44,600","7,681.0",17.22
"Big Horn County Elec Coop, Inc",MT,Cooperative,"3,102","38,911","3,824.2",9.83
Big Horn Rural Electric Co,MT,Cooperative,36,354,45.0,12.71
Black Hills Power Inc,MT,Investor Owned,12,61,5.2,8.52
Fall River Rural Elec Coop Inc,MT,Cooperative,"1,371","15,995","1,735.0",10.85
"Fergus Electric Coop, Inc",MT,Cooperative,"5,816","57,000","8,900.0",15.61
Flathead Electric Coop Inc,MT,Cooperative,"51,979","674,819","53,850.0",7.98
"Glacier Electric Coop, Inc",MT,Cooperative,"5,790","68,147","6,732.0",9.88
"Grand Electric Coop, Inc",MT,Cooperative,15,117,11.0,9.40
"Hill County Electric Coop, Inc",MT,Cooperative,"3,566","39,008","4,893.1",12.54
"Lincoln Electric Coop, Inc",MT,Cooperative,"4,684","71,230","6,063.0",8.51
"Lower Yellowstone R E A, Inc",MT,Cooperative,"2,813","37,263","2,835.0",7.61
Marias River Electric Coop Inc,MT,Cooperative,"2,512","29,843","2,354.4",7.89
McCone Electric Coop Inc,MT,Cooperative,"4,539","43,344","5,377.4",12.41
